211816,WETH,WBTC,3000,12.1903967675341,9336.71058329357
223174,WETH,USDC,500,3.42041766783877,2619.72193748821
223138,WETH,USDC,500,2.51981812830949,1929.94641890735
222667,WETH,USDC,500,2.16010760440912,1654.44159987084
212399,USDC,XCHF,10000,2.02706404219128,1552.54260026596
219725,WETH,OP,3000,1.92034004112671,1470.80193757606
222210,WETH,USDC,500,1.82599408477362,1398.5417063489
180259,OP,BOB,500,1.67707351032988,1284.48239146408
211063,WBTC,USDC,3000,1.6521379815578,1265.38409467966
223237,WETH,USDC,500,1.57136823387105,1203.52197711141
220462,WETH,USDC,500,1.55675272199243,1192.32785381586
221108,WETH,USDC,500,1.32312450617472,1013.39036090418
225699,WETH,USDC,500,1.07113932518652,820.393139318131
238230,WETH,SNX,3000,0.947209214700261,725.474196462438
178109,WETH,WBTC,3000,0.936080486714342,716.950625462562
219128,WETH,USDC,500,0.902273688676877,691.057761182353
239544,OP,USDC,3000,0.866938287310432,663.994128866327
234056,WETH,USDC,500,0.769260853040773,589.182295282426
216562,OP,USDC,3000,0.740635411717283,567.257868534621
238994,WETH,USDC,500,0.683927470714403,523.824857861133
224046,WETH,USDC,500,0.68119860107147,521.734797417533
224053,WETH,USDC,500,0.658651442660474,504.465770283011
222875,OP,USDC,3000,0.60927848092973,466.650671799286
235075,WETH,AAVE,10000,0.604710944492947,463.152363532366
238286,USDC,OPX,10000,0.603868098000345,462.506821478433
211950,WETH,USDC,500,0.595395988983127,456.017973622838
222321,WETH,USDC,500,0.594005158123161,454.952726489586
220845,WETH,OP,3000,0.592318298544582,453.660748879653
230513,WETH,OP,3000,0.588260213361578,450.552632909469
222319,WETH,USDC,500,0.580571203378252,444.663566109153
219198,OP,USDC,3000,0.578448674249094,443.037906127655
222323,WETH,USDC,500,0.576958796116876,441.896797992279
219553,WETH,USDC,500,0.576392986867005,441.463440710138
222315,WETH,USDC,500,0.576258335681257,441.360310420369
222320,WETH,USDC,500,0.575455164861677,440.745156243326
222326,WETH,USDC,500,0.561055765629734,429.716555143155
222328,WETH,USDC,500,0.551780904799034,422.612874030231
222327,WETH,USDC,500,0.548665561613591,420.226810783497
223866,WETH,PERP,3000,0.542864558315536,415.783781576203
222333,WETH,USDC,500,0.540024510315804,413.608568847542
222330,WETH,USDC,500,0.535802208028577,410.37467784278
222338,WETH,USDC,500,0.529320749799872,405.410483420471
238792,LINK,WETH,3000,0.484713188841287,371.245238889124
233489,WETH,USDC,500,0.478396452063708,366.407205784233
156627,OP,USDC,3000,0.474320037900536,363.285051519283
238786,WETH,OP,3000,0.466685696116713,357.437855477286
223942,WETH,USDC,500,0.459772417622486,352.142926877898
222937,WETH,USDC,500,0.43046379482934,329.695246639687
239904,USDC,OPX,10000,0.415497299129434,318.23230236799
207060,WETH,USDC,500,0.361809296955256,277.11228407371
223663,OP,USDC,3000,0.356566093213557,273.096477467983
119008,WETH,DAI,3000,0.354622912339213,271.608181575674
217937,WETH,USDC,500,0.353808150824548,270.984150003782
236800,USDT,DAI,100,0.34332300177459,262.953500635348
211789,WETH,OP,3000,0.334684270872301,256.337035906617
162465,WETH,SNX,3000,0.325821227193998,249.548768445808
222770,WETH,WBTC,3000,0.312925350841096,239.671726088528
223653,WETH,USDC,500,0.309510174489624,237.056018512092
211449,WETH,AAVE,10000,0.296846459396209,227.356790095557
190448,WETH,SNX,3000,0.283204873766169,216.908603760547
218659,WETH,USDC,500,0.281135534522088,215.323682285957
237389,WETH,USDC,500,0.279130809838671,213.788249557623
167647,WETH,OP,3000,0.278988410307504,213.679184755627
155149,WETH,USDC,500,0.277418082677174,212.476459784083
170686,WETH,OP,3000,0.263706744079275,201.974849160624
219304,WETH,USDC,500,0.255131759284313,195.407208023632
235417,OP,USDC,3000,0.252836652469368,193.649369579362
234959,WETH,USDC,500,0.249640249932223,191.201222405308
170499,OP,USDC,3000,0.24717617739625,189.313971927465
237836,OP,USDC,3000,0.240765411623998,184.403921354525
98011,OP,USDC,10000,0.234307791837324,179.457984962553
238270,WETH,OP,3000,0.230589529100328,176.610141392733
238269,WETH,OP,500,0.22330170489239,171.02834559814
221295,WETH,DAI,3000,0.220329981326699,168.752281627826
218905,OP,USDC,3000,0.220138706628153,168.605782991541
232785,WETH,SNX,3000,0.219140882439136,167.841542430423
222456,WBTC,USDC,3000,0.217965968036755,166.941667229939
222839,WETH,USDC,500,0.20717899984928,158.679852462279
219765,OP,USDC,3000,0.193113981578083,147.907356090655
224007,OP,USDC,3000,0.177273955571094,135.775368815805
97959,WETH,OP,10000,0.176256592037526,134.996162933334
222422,WETH,USDC,500,0.169454748013088,129.786582777747
117047,WETH,OP,10000,0.165594563511682,126.830040330849
222452,WETH,WBTC,3000,0.151483117183696,116.02198438414
222289,UNIDX,USDC,10000,0.146614316139729,112.292935436675
223687,WETH,USDC,500,0.14450293881575,110.675816701161
103742,WETH,OP,3000,0.142046192228955,108.794177219296
211006,WETH,SNX,3000,0.141699990309967,108.529018735728
219141,WETH,USDC,500,0.141083654723344,108.056962977066
232949,USDT,DAI,100,0.139678072856054,106.980417943605
223343,WETH,OP,3000,0.138340909563029,105.956275177159
222758,WETH,USDC,500,0.136013368281855,104.173594947188
210168,OP,USDC,3000,0.135713608310211,103.944006677579
222285,WETH,USDC,500,0.133878212333698,102.538263996251
220398,OP,USDC,3000,0.13201074170904,101.107955116423
236988,WETH,OP,3000,0.120628490193583,92.3902086629931
210654,WETH,WBTC,3000,0.119509061231863,91.5328301515755
207064,WETH,USDC,500,0.119356337659118,91.4158580935564
