287311,WMATIC,USDC,500,0.069243988780264343772237114719156844663
287516,WMATIC,USDT,500,0
287792,WBTC,USDC,3000,0
287845,WMATIC,USDC,500,0
288605,WBTC,USDC,3000,0
288941,DAI,GNS,10000,0
289437,USDC,WETH,500,0
289739,USDC,WETH,500,0
290218,WMATIC,USDC,500,0
292041,USDC,stMATIC,3000,0
292098,USDC,WETH,3000,0
292204,WMATIC,USDC,500,0
292321,WMATIC,USDT,500,0
292570,WMATIC,USDC,500,0
294060,USDC,WETH,500,0
294127,USDC,WETH,3000,0
294346,WMATIC,USDC,500,0
295037,WMATIC,USDC,500,0.00002303780375263232
295603,USDC,WETH,500,0
295606,USDC,WETH,500,0
297388,USDC,WETH,3000,0
298213,WMATIC,USDT,3000,0
298279,USDC,WETH,500,0
298339,USDC,WETH,500,0
298663,USDC,WETH,500,0
300345,WMATIC,USDC,500,0.000002445732572160066331868024799744714
300816,USDC,WETH,500,0
302601,USDC,WETH,3000,0
304084,USDC,WETH,500,0
304360,CPLE,USDT,10000,0
304535,WBTC,USDT,3000,0
304995,WMATIC,USDT,3000,0
305881,WMATIC,USDC,500,0.0021085257253494169211411651962468208272
306989,USDC,WETH,3000,0
307178,USDC,WETH,500,0
307253,WMATIC,USDT,500,0
307331,USDC,WETH,3000,0
307533,WMATIC,USDC,500,0.00010871157233893563
308335,USDC,stMATIC,3000,0
308377,WMATIC,USDC,500,0
308694,USDC,RBW,10000,0
309135,USDC,UNIM,10000,0
309193,WMATIC,USDC,500,0
309327,USDC,WETH,3000,0
309973,USDC,WETH,3000,0
309980,WMATIC,USDC,3000,0
310204,WMATIC,USDC,500,0
310312,USDC,WETH,3000,0
310872,USDC,stMATIC,3000,0
311763,USDC,WETH,3000,0
312958,USDC,WETH,3000,0
313731,WMATIC,USDC,500,0.0009460434934986463980734300254899406686
313919,WMATIC,USDC,500,0
314809,USDC,WETH,3000,0
315808,USDC,UNIM,10000,0
315815,WETH,MANA,3000,0
315830,WMATIC,WETH,3000,0.0002985818703273794
315969,USDC,WETH,3000,0
316312,WMATIC,USDC,500,0.0000001623501813584520279464016899084148
316377,WMATIC,USDC,3000,0.00007686808115657017
316572,WMATIC,USDC,500,0
317962,WBTC,WETH,500,0
318116,WBTC,USDC,100,0
318834,WBTC,WETH,500,0
318931,WMATIC,USDC,3000,0
319145,WBTC,USDC,500,0
319330,WMATIC,USDC,500,0
319350,WETH,USDT,3000,0
319618,WMATIC,USDC,500,0
320173,USDC,WETH,3000,0
320236,WMATIC,USDC,500,0
320241,WMATIC,SROCKET,3000,0
320962,WMATIC,USDC,500,0
321366,WMATIC,USDC,500,0
321595,USDC,WETH,500,0
321673,USDC,jEUR,500,0
321808,WMATIC,USDC,500,0
322383,USDC,LDO,3000,0
